"SITE_NO","SITE_NAME","SITE_NOM_FR","SITE_TYPE","SITE_DESC","SITE_DESC_FR","LATITUDE","LONGITUDE","DATUM","PROV_TERR","PEARSEDA","PEARSEDA_FR","OCEANDA","OCEANDA_FR","DATA_URL","DATA_URL_FR"
"AL05AK0001","SOUTH SASKATCHEWAN RIVER AT HWY 41","RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41","RIVER/RIVIÈRE","","",50.7375,-110.0956,"NAD27","AB","SOUTH SASKATCHEWAN","SASKATCHEWAN SUD","HUDSON BAY","BAIE D'HUDSON","",""
"AL05BA0011","BOW RIVER AT HWY 1 ABOVE LAKE LOUISE","RIVIÈRE BOW À L'AUT. 1 EN AMONT DE LAC LOUISE","RIVER/RIVIÈRE","","",51.4433,-116.2117,"NAD27","AB","SOUTH SASKATCHEWAN","SASKATCHEWAN SUD","HUDSON BAY","BAIE D'HUDSON","",""
"AL05BE0013","BOW RIVER ABOUT 4.5 KM ABOVE CANMORE","RIVIÈRE BOW ENVIRON 4.5 KM DE CANMORE","RIVER/RIVIÈRE","","",51.1228,-115.3867,"NAD27","AB","SOUTH SASKATCHEWAN","SASKATCHEWAN SUD","HUDSON BAY","BAIE D'HUDSON","",""
"AL05CK0001","RED DEER RIVER NEAR BLINDLOSS","RIVIÈRE RED DEER PRÈS DE BLINDLOSS","RIVER/RIVIÈRE","","",50.9028,-110.2969,"NAD27","AB","SOUTH SASKATCHEWAN","SASKATCHEWAN SUD","HUDSON BAY","BAIE D'HUDSON","",""
"AL05DA0001","NORTH SASKATCHEWAN RIVER AT WHIRLPOOL POINT","RIVIÈRE SASKATCHEWAN NORD AU POINT WHIRLPOOL","RIVER/RIVIÈRE","","",52.0028,-116.4719,"NAD27","AB","NORTH SASKATCHEWAN","SASKATCHEWAN NORD","HUDSON BAY","BAIE D'HUDSON","",""
"AL05EF0003","NORTH SASKATCHEWAN RIVER AT HWY 17","RIVIÈRE SASKATCHEWAN NORD À L'AUT. 17","RIVER/RIVIÈRE","","",53.6014,-110.0083,"NAD83","AB","NORTH SASKATCHEWAN","SASKATCHEWAN NORD","HUDSON BAY","BAIE D'HUDSON","",""
"AL06AD0001","BEAVER RIVER AT BEAVER CROSSING","RIVIÈRE BEAVER AU PASSAGE BEAVER","RIVER/RIVIÈRE","","",54.3542,-110.2119,"NAD27","AB","CHURCHILL","CHURCHILL","HUDSON BAY","BAIE D'HUDSON","",""
"AL07AA0015","ATHABASCA RIVER ABOVE ATHABASCA FALLS","RIVIÈRE ATHABASKA EN AMONT DES CHUTES ATHABASKA","RIVER/RIVIÈRE","","",52.6644,-117.8808,"NAD27","AB","PEACE–ATHABASCA","PAIX–ATHABASCA","ARCTIC","ARCTIQUE","",""
"AL07AA0023","ATHABASCA RIVER AT HWY 16 BELOW SNARING RIVER","RIVIÈRE ATHABASKA À L'AUT 16 EN AVAL DE LA RIVIÈRE SNARING","RIVER/RIVIÈRE","","",53.0417,-118.0872,"NAD27","AB","PEACE–ATHABASCA","PAIX–ATHABASCA","ARCTIC","ARCTIQUE","",""
"AL07DD0001","ATHABASCA RIVER AT 27 BASELINE","RIVIÈRE ATHABASKA À ""27 BASELINE""","RIVER/RIVIÈRE","","",58.1725,-111.3703,"NAD83","AB","PEACE–ATHABASCA","PAIX–ATHABASCA","ARCTIC","ARCTIQUE","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Athabasca_River_at_27_Baseline_1989_2010_units_corrected.xls","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Athabasca_River_at_27_Baseline_1989_2010_units_corrected.xls"
"AL07KC0001","PEACE RIVER AT PEACE POINT","RIVIÈRE PEACE À PEACE POINT","RIVER/RIVIÈRE","","",59.1139,-112.4264,"NAD83","AB","PEACE–ATHABASCA","PAIX–ATHABASCA","ARCTIC","ARCTIQUE","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Peace_River_at_Peace_Point_1967_2010_units_corrected.xls","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Peace_River_at_Peace_Point_1967_2010_units_corrected.xls"
"AL07NB0001","SLAVE RIVER AT FITZGERALD","RIVIÈRE SLAVE À FITZGERALD","RIVER/RIVIÈRE","","",59.8692,-111.5858,"NAD83","AB","LOWER MACKENZIE","BAS MACKENZIE","ARCTIC","ARCTIQUE","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls","http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls"
"AL11AA0002","MILK RIVER AT WESTERN CROSSING OF INTERNATIONAL BOUNDARY","RIVIÈRE MILK AU PASSAGE OUEST À LA FRONTIÈRE INTERNATIONALE","RIVER/RIVIÈRE","","",49.0897,-112.4017,"NAD27","AB","MISSOURI","MISSOURI","GULF OF MEXICO","GOLFE DU MEXIQUE","",""
"AL11AA0003","MILK RIVER AT EASTERN CROSSING OF INTERNATIONAL BOUNDARY","RIVIÈRE MILK AU PASSAGE EST À LA FRONTIÈRE INTERNATIONALE","RIVER/RIVIÈRE","","",49.1242,-110.8942,"NAD27","AB","MISSOURI","MISSOURI","GULF OF MEXICO","GOLFE DU MEXIQUE","",""
"BC07FB0005","MURRAY RIVER NEAR THE MOUTH","RIVIÈRE MURRAY PRÈS DE L'EMBOUCHURE","RIVER/RIVIÈRE","","",55.55262,-121.20351,"NAD83","BC","PEACE-ATHABASCA","PAIX-ATHABASCA","ARCTIC","ARCTIQUE","",""
"BC07FB0005","Murray River near the Mouth","Murray River near the Mouth","RIVER/RIVIÈRE","","",55.55262,-121.20351,"NAD83","BC","PEACE-ATHABASCA","PAIX-ATHABASCA","ARCTIC","ARCTIQUE","",""
"BC07FD0005","PEACE RIVER ABOVE ALCES RIVER","RIVIÈRE PEACE EN AMONT DE LA RIVIÈRE ALCES","RIVER/RIVIÈRE","","",56.1261,-120.0564,"NAD83","BC","PEACE–ATHABASCA","PAIX–ATHABASCA","ARCTIC","ARCTIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC07FD0005/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC07FD0005/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08CG0001","ISKUT RIVER BELOW JOHNSON RIVER","RIVIÈRE ISKUT EN AVAL DE LA RIVIÈRE JOHNSON","RIVER/RIVIÈRE","","",56.7389,-131.6731,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08CG0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08CG0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08EE0009","Bulkley River at Smithers","Bulkley River at Smithers","RIVER/RIVIÈRE","","",54.78916,-127.15523,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","",""
"BC08EF0001","SKEENA RIVER AT USK","RIVIÈRE SKEENA À USK","RIVER/RIVIÈRE","","",54.6344,-128.4092,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08EF0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08EF0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08FC0001","DEAN RIVER UPSTREAM FROM ANAHIM LAKE","RIVIÈRE DEAN EN AMONT DE LA CRIQUE LODGE","RIVER/RIVIÈRE","","",52.4676,-125.2936,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08FC0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08FC0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08GA0010","CHEAKAMUS RIVER BELOW SEWAGE TREATMENT PLANT","RIVIÈRE CHEAKAMUS À DAISY LAKE FOREST ROAD","RIVER/RIVIÈRE","","",50.058,-123.099,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08GA0010/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08GA0010/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08HA0018","COWICHAN RIVER 1KM DOWNSTREAM OF SOMENOS CREEK","RIVIÈRE COWICHAN À 1 KM EN AVAL DE LA RIVIÈRE SOMENOS CREEK","RIVER/RIVIÈRE","","",48.7726,-123.6633,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HA0018/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HA0018/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08HB0018","TSOLUM RIVER BELOW MUREX CREEK","RIVIÈRE TSOLUM EN AMONT DE LA RIVIÈRE MUREX CREEK","RIVER/RIVIÈRE","","",49.8128,-125.2028,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HB0018/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HB0018/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08HB0019","ENGLISHMAN RIVER AT HWY 19","RIVIÈRE ENGLISHMAN À L'AUTOROUTE 19","RIVER/RIVIÈRE","","",49.3011,-124.2756,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HB0019/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HB0019/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08HD0004","QUINSAM RIVER NEAR THE MOUTH","RIVIÈRE QUINSAM PRÈS DE L'EMBOUCHURE","RIVER/RIVIÈRE","","",50.0267,-125.2967,"NAD83","BC","PACIFIC COASTAL","CÔTE DU PACIFIQUE","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HD0004/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08HD0004/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08KA0007","FRASER RIVER AT RED PASS","RIVIÈRE FRASER À RED PASS","RIVER/RIVIÈRE","","",52.9878,-119.0101,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KA0007/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KA0007/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08KE0010","NECHAKO RIVER AT PRINCE GEORGE","RIVIÈRE NECHAKO À PRINCE GEORGE","RIVER/RIVIÈRE","","",53.9272,-122.765,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KE0010/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KE0010/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08KH0012","HORSEFLY RIVER ABOVE QUESNEL LAKE","RIVIÈRE HORSEFLY AU DESSUS DU LAC QUESNEL","RIVER/RIVIÈRE","","",52.4033,-121.4342,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08KH0013","QUESNEL AT GRAVELLE","QUESNEL À GRAVELLE","RIVER/RIVIÈRE","","",52.84196,-122.22484,"NAD83","BC","FRASER-LOWER MAINLAND","FRASER-BASSES-TERRES","PACIFIC","PACIFIQUE","",""
"BC08KH0014","QUESNEL AT LIKELY","QUESNEL À LIKELY","RIVER/RIVIÈRE","","",52.6155,-121.57268,"NAD83","BC","FRASER-LOWER MAINLAND","FRASER-BASSES-TERRES","PACIFIC","PACIFIQUE","",""
"BC08LC0005","SHUSWAP RIVER UPSTREAM MARA LAKE","RIVIÈRE SHUSWAP EN AMONT DU LAC MARA","RIVER/RIVIÈRE","","",50.6848,-119.07,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LC0005/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LC0005/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08LE0004","SALMON RIVER AT HWY 1 BRIDGE","RIVIÈRE SALMON AU PONT DE L'AUTOROUTE 1","RIVER/RIVIÈRE","","",50.6914,-119.3289,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LE0004/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LE0004/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08LF0001","THOMPSON RIVER AT SPENCES BRIDGE","RIVIÈRE THOMPSON AU PONT SPENCES","RIVER/RIVIÈRE","","",50.4208,-121.3414,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LF0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LF0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08LG0001","NICOLA RIVER NEAR MOUTH AT THOMPSON RIVER","RIVIÈRE NICOLA PRÈS DE L'EMBOUCHURE À LA RIVIÈRE THOMPSON","RIVER/RIVIÈRE","","",50.425,-121.3164,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LG0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LG0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MB0007","CHILCOTIN RIVER UPSTREAM OF CHRISTIE ROAD BRIDGE","RIVIÈRE CHILCOTIN EN AMONT DU PONT CHRISTIE ROAD","RIVER/RIVIÈRE","","",52.072,-123.2614,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MC0001","FRASER RIVER AT MARGUERITE","RIVIÈRE FRASER À MARGUERITE","RIVER/RIVIÈRE","","",52.5296,-122.4423,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MF0001","FRASER RIVER AT HOPE","RIVIÈRE FRASER À HOPE","RIVER/RIVIÈRE","","",49.3872,-121.4508,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MH0027","SUMAS RIVER AT INTERNATIONAL BOUNDARY","RIVIÈRE SUMAS À LA FRONTIÈRE INTERNATIONALE","RIVER/RIVIÈRE","","",49.0024,-122.2323,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0027/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0027/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MH0269","NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET","RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET","RIVER/RIVIÈRE","","",49.2421,-122.5961,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08MH0453","FRASER RIVER (MAIN ARM) AT GRAVESEND REACH - BUOY","FLEUVE FRASER (BRAS PRINCIPAL) AU TRONÇON GRAVESEND - BOUÉE","RIVER/RIVIÈRE","","",49.1485,-123.0387,"NAD83","BC","FRASER–LOWER MAINLAND","FRASER–BASSES-TERRES","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0453/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0453/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NA0033","KICKING HORSE RIVER ABOVE FIELD","RIVIÈRE KICKING HORSE EN AMONT DE FIELD","RIVER/RIVIÈRE","","",51.4192,-116.4378,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0033/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NA0048","COLUMBIA RIVER AT NICHOLSON","FLEUVE COLUMBIA À NICHOLSON","RIVER/RIVIÈRE","","",51.2438,-116.9126,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0048/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0048/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NB0002","BEAVER RIVER NEAR EAST PARK GATE","RIVIÈRE BEAVER PRÈS DE EAST PARK GATE","RIVER/RIVIÈRE","","",51.3834,-117.4504,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NB0002/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08ND0003","ILLECILLEWAET RIVER AT PARK ENTRANCE","RIVIÈRE ILLECILLEWAET À L'ENTRÉE DU PARC","RIVER/RIVIÈRE","","",51.2138,-117.6958,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08ND0003/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NE0001","COLUMBIA RIVER AT WANETA","FLEUVE COLUMBIA À WANETA","RIVER/RIVIÈRE","","",49.0161,-117.6039,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NE0005","COLUMBIA RIVER AT BIRCHBANK","FLEUVE COLUMBIA À BIRCHBANK","RIVER/RIVIÈRE","","",49.1769,-117.7175,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0005/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NE0029","PEND D'OREILLE RIVER AT WANETA","RIVIÈRE PEND D'OREILLE À WANETA","RIVER/RIVIÈRE","","",49.0031,-117.6167,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NE0029/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NF0001","KOOTENAY RIVER AT KOOTENAY CROSSING","RIVIÈRE KOOTENAY À KOOTENAY CROSSING","RIVER/RIVIÈRE","","",50.8856,-116.0431,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NF0001/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NG0009","KOOTENAY RIVER NEAR FENWICK STATION","RIVIÈRE KOOTENAY PRÈS DE FENWICK STATION","RIVER/RIVIÈRE","","",49.5279,-115.5492,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NG0009/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NG0009/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NH0005","KOOTENAY RIVER AT CRESTON","RIVIÈRE KOOTENAY À CRESTON","RIVER/RIVIÈRE","","",49.1169,-116.5794,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NH0005/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NH0005/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NK0003","ELK RIVER AT HWY 93 NEAR ELKO","RIVIÈRE ELK À L'AUTOROUTE 93 PRÈS D'ELKO","RIVER/RIVIÈRE","","",49.1797,-115.167,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NK0003/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NK0003/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NK0004","ELK RIVER BELOW SPARWOOD","RIVIÈRE ELK EN AVAL DE SPARWOOD","RIVER/RIVIÈRE","","",49.6643,-114.9041,"NAD83","BC","COLUMBIA","COLUMBIA","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NK0004/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NK0004/Projects/PYLTM/Regions/0?new_lang=fr"
"BC08NL0001","SIMILKAMEEN RIVER AT PRINCETON","RIVIÈRE SIMILKAMEEN À PRINCETON","RIVER/RIVIÈRE","","",49.4586,-120.504,"NAD83","BC","OKANAGAN–SIMILKAMEEN","OKANAGAN–SIMILKAMEEN","PACIFIC","PACIFIQUE","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NL0001/Projects/PYLTM/Regions/0","http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NL0001/Projects/PYLTM/Regions/0?new_lang=fr"
